Exam Subject,Schools,Students (9th Grade),Students (10th Grade),Students (11th Grade),Students (12th Grade),Students (Not High School),Students (> 9th Grade),Students (Grade Not Known),Students (Male),Students (Female),Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),Students (Other Race),Students (Race Not Known),All Students (2015),All Students (2016),% Change 2015-2016,Colleges
MUSIC THEORY,3172,289,2424,6521,9391,9,33,304,9803,9168,10938,1069,2783,2558,62,25,876,31,297,18642,18971,2,1308
PHYSICS C: ELECTRICITY & MAGNETISM,2441,24,329,3665,18849,215,6,259,17595,5752,83702,7758,31644,28979,394,274,6433,184,1829,22789,23347,2,805
PHYSICS C: MECHANICS,4299,60,925,10387,40780,397,7,554,38348,14762,13320,626,3176,5040,43,33,925,40,240,52678,53110,1,1372
PHYSICS 1,7151,1790,13001,100690,51500,109,62,2152,101012,68292,10652,399,1650,6510,25,24,853,62,221,171074,169304,-1,2356
PHYSICS 2,2488,59,1000,7140,17836,47,6,297,18796,7589,26676,1243,4586,12732,77,58,2000,127,479,20533,26385,29,1224
PSYCHOLOGY,8478,1322,28527,110939,148130,175,51,4206,102066,191284,160971,20207,50759,35938,737,467,12104,349,3350,276971,293350,6,2958
RESEARCH,136,0,97,675,2009,1,0,60,1147,1695,1230,171,561,371,7,4,105,11,58,,2842,0,385
SEMINAR,388,275,4957,6037,799,0,0,240,4908,7400,5761,1001,2486,1485,38,23,477,9,179,5288,12308,133,547
SPANISH LANGUAGE,7567,6768,24782,57256,58504,104,4918,2926,58188,97070,32857,2429,104947,8329,128,55,2292,123,2053,144561,155258,7,2367
SPANISH LITERATURE,1876,703,2536,8246,12094,4,0,478,8279,15782,1975,190,19959,513,8,5,192,22,280,21755,24061,11,1118
STATISTICS,8759,555,10124,39622,152758,606,44,2854,98698,107865,112431,10861,30238,33771,528,309,7993,266,2156,195526,206563,6,2768
STUDIO ART: DRAWING,3826,23,610,4037,12661,5,1,1070,3894,14513,16148,1829,6720,2876,140,43,1313,79,686,18105,18407,2,1543
STUDIO ART: 2-D DESIGN,4510,272,1345,6746,20743,6,0,1813,7812,23113,2948,220,988,378,21,8,224,13,135,27999,30925,10,1843
STUDIO ART: 3-D DESIGN,1510,14,118,829,3757,4,0,329,1328,3723,9176,1027,4022,2245,44,32,771,40,437,4590,5051,10,820
U.S. HISTORY,13163,3385,59890,403216,15764,67,63,6906,225124,264167,261535,35396,101585,56148,1614,826,21178,307,6673,469689,489291,4,3042
WORLD HISTORY,7154,20666,228091,21521,9002,43,842,5186,127814,157537,134519,23017,66826,37977,981,589,13176,83,4278,265308,285351,8,2341
ALL SUBJECTS (EXAMS),,177243,626730,1811608,2006854,5888,6917,69740,2122383,2582597,188731,292866,966831,648158,13003,7380,188731,5294,56959,4478936,4704980,5,
ALL SUBJECTS (STUDENTS),,166953,509759,947479,932345,2523,6701,45412,1142205,1468967,1330635,186348,568367,295180,8345,4469,106083,2142,37429,2483452,2611172,5,
